,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
232,8600,Finance & Investments,Graeme Hart,67.0,New Zealand,Auckland,Investments,Finance & Investments,New Zealand,,True,D,M,6/6/1955 0:00,,,1955.0,6.0,6.0,114.24,1.6,"$206,928,765,544 ",82.0,100.0,81.9,29.0,34.6,4841000.0,-40.900557,174.88597099999998
233,8600,Food & Beverage,Ravi Jaipuria,68.0,India,Delhi,"Soft drinks, fast food",Food & Beverage,India,,False,U,M,11/28/1954 0:00,,,1954.0,11.0,28.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
234,8600,Technology,Hasso Plattner & family,79.0,Germany,Heidelberg,Software,Technology,Germany,,True,U,M,1/21/1944 0:00,,,1944.0,1.0,21.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165690999999995,10.451526
235,8600,Food & Beverage,Carlos Alberto Sicupira & family,75.0,Switzerland,St. Gallen,Beer,Food & Beverage,Brazil,,True,U,M,1/1/1948 0:00,,,1948.0,1.0,1.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227511999999999
236,8600,Real Estate,Manuel Villar,73.0,Philippines,Manila,Real estate,Real Estate,Philippines,,True,U,M,12/13/1949 0:00,,,1949.0,12.0,13.0,129.61,2.5,"$376,795,508,680 ",35.5,107.5,71.1,14.0,43.1,108116615.0,12.879721,121.77401699999999
237,8600,Technology,Andreas von Bechtolsheim & family,67.0,United States,Palo Alto,Google,Technology,Germany,Arista Networks,True,D,M,9/30/1955 0:00,California,West,1955.0,9.0,30.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
238,8500,Finance & Investments,"Chase Coleman, III.",47.0,United States,New York,Investments,Finance & Investments,United States,Tiger Global Management,True,D,M,6/21/1975 0:00,New York,Northeast,1975.0,6.0,21.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
239,8500,Fashion & Retail,Ann Walton Kroenke,74.0,United States,Electra,Walmart,Fashion & Retail,United States,,False,D,F,12/18/1948 0:00,Texas,South,1948.0,12.0,18.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
240,8500,Manufacturing,Li Zhenguo & family,55.0,China,Xi'an,Solar wafers and modules,Manufacturing,China,,True,D,M,1/1/1968 0:00,,,1968.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
241,8400,Media & Entertainment,Jim Kennedy,75.0,United States,Atlanta,"Media, automotive",Media & Entertainment,United States,Cox Enterprises,False,U,M,11/29/1947 0:00,Georgia,South,1947.0,11.0,29.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
242,8400,Metals & Mining,Nicky Oppenheimer & family,77.0,South Africa,Johannesburg,Diamonds,Metals & Mining,South Africa,,False,D,M,6/8/1945 0:00,,,1945.0,6.0,8.0,158.93,4.1,"$351,431,649,241 ",22.4,100.9,63.9,27.5,29.2,58558270.0,-30.559482,22.937506
243,8400,Media & Entertainment,Blair Parry-Okeden,72.0,Australia,New South Wales,"Media, automotive",Media & Entertainment,United States,,False,U,F,5/21/1950 0:00,,,1950.0,5.0,21.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
244,8400,Metals & Mining,Zheng Shuliang & family,77.0,China,Binzhou,Aluminum products,Metals & Mining,China,,False,D,F,1/1/1946 0:00,,,1946.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
245,8300,Fashion & Retail,John Morris,75.0,United States,Springfield,Sporting goods retail,Fashion & Retail,United States,,True,U,M,3/19/1948 0:00,Missouri,Midwest,1948.0,3.0,19.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
246,8300,Fashion & Retail,Stefano Pessina,81.0,Monaco,Monte Carlo,Drugstores,Fashion & Retail,Monaco,,False,D,M,6/4/1941 0:00,,,1941.0,6.0,4.0,,,"$7,184,844,193 ",,,,,,38964.0,43.738417600000005,7.4246158
247,8300,Finance & Investments,Francine von Finck & family,,Switzerland,Thurgau,Investments,Finance & Investments,Germany,,False,D,F,,,,,,,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227511999999999
248,8200,Real Estate,Francis Choi,75.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,True,U,M,9/18/1947 0:00,,,1947.0,9.0,18.0,,,,,,,,,,,
249,8200,Energy,German Khan,61.0,Russia,Moscow,"Oil, banking, telecom",Energy,Russia,,True,U,M,10/24/1961 0:00,,,1961.0,10.0,24.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.31875600000001
250,8200,Diversified,Abdulsamad Rabiu,62.0,Nigeria,Lagos,"Cement, sugar",Diversified,Nigeria,,False,U,M,8/4/1960 0:00,,,1960.0,8.0,4.0,267.51,11.4,"$448,120,428,859 ",10.2,84.7,54.3,1.5,34.8,200963599.0,9.081999,8.675277000000001
251,8200,Finance & Investments,George Roberts,79.0,United States,Atherton,Private equity,Finance & Investments,United States,,True,U,M,9/14/1943 0:00,California,West,1943.0,9.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
252,8200,Real Estate,Kushal Pal Singh,91.0,India,Delhi,Real estate,Real Estate,India,,False,D,M,8/15/1931 0:00,,,1931.0,8.0,15.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
253,8200,Real Estate,Wang Jianlin,68.0,China,Beijing,Real estate,Real Estate,China,Dalian Wanda Group,True,D,M,10/1/1954 0:00,,,1954.0,10.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
254,8200,Real Estate,Yang Huiyan & family,41.0,China,Foshan,Real estate,Real Estate,China,,False,D,F,9/27/1981 0:00,,,1981.0,9.0,27.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
255,8100,Diversified,Laurent Dassault,69.0,France,Paris,Diversified,Diversified,France,,False,D,M,7/7/1953 0:00,,,1953.0,7.0,7.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
256,8100,Diversified,Thierry Dassault,66.0,France,Paris,Diversified,Diversified,France,,False,D,M,3/26/1957 0:00,,,1957.0,3.0,26.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
257,8100,Food & Beverage,Tilman Fertitta,65.0,United States,Houston,"Houston Rockets, entertainment",Food & Beverage,United States,Landry's Inc,True,U,M,6/25/1957 0:00,Texas,South,1957.0,6.0,25.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
258,8100,Diversified,Marie-Hélène Habert-Dassault,58.0,France,Paris,Diversified,Diversified,France,,False,D,F,4/4/1965 0:00,,,1965.0,4.0,4.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
259,8100,Gambling & Casinos,Karel Komarek,54.0,Switzerland,Verbier,"Oil and gas, IT, lotteries",Gambling & Casinos,Czech Republic,,True,U,M,3/15/1969 0:00,,,1969.0,3.0,15.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227511999999999
260,8000,Technology,Nathan Blecharczyk,39.0,United States,San Francisco,Airbnb,Technology,United States,,True,D,M,6/11/1983 0:00,California,West,1983.0,6.0,11.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
261,8000,Energy,Leonid Fedun,66.0,Russia,Moscow,Oil,Energy,Russia,,True,U,M,4/5/1956 0:00,,,1956.0,4.0,5.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.31875600000001
262,8000,Fashion & Retail,Bernard Marcus,93.0,United States,Atlanta,Home Depot,Fashion & Retail,United States,Home Depot,True,D,M,5/12/1929 0:00,Georgia,South,1929.0,5.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
263,8000,Finance & Investments,Patrick Ryan,85.0,United States,Winnetka,Insurance,Finance & Investments,United States,Ryan Specialty Group,True,E,M,5/15/1937 0:00,Illinois,Midwest,1937.0,5.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
264,8000,Finance & Investments,Robert F. Smith,60.0,United States,Austin,Private equity,Finance & Investments,United States,,True,U,M,12/1/1962 0:00,Texas,South,1962.0,12.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
265,8000,Metals & Mining,Pavel Tykac,58.0,Czech Republic,Prague,Coal mines,Metals & Mining,Czech Republic,,True,U,M,5/15/1964 0:00,,,1964.0,5.0,15.0,116.48,2.8,"$246,489,245,495 ",64.1,100.7,79.0,14.9,46.1,10669709.0,49.817492,15.472961999999999
266,8000,Finance & Investments,Eric Wittouck,76.0,Monaco,,Investments,Finance & Investments,Belgium,,False,D,M,10/1/1946 0:00,,,1946.0,10.0,1.0,,,"$7,184,844,193 ",,,,,,38964.0,43.738417600000005,7.4246158
267,7900,Finance & Investments,Orlando Bravo,52.0,United States,Miami Beach,Private equity,Finance & Investments,United States,,True,U,M,9/23/1970 0:00,Florida,South,1970.0,9.0,23.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
268,7900,Fashion & Retail,Ding Shizhong,52.0,China,Quanzhou,Sports apparel,Fashion & Retail,China,,True,U,M,12/1/1970 0:00,,,1970.0,12.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
269,7900,Fashion & Retail,Nancy Walton Laurie,71.0,United States,Henderson,Walmart,Fashion & Retail,United States,,False,D,F,5/15/1951 0:00,Nevada,West,1951.0,5.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
270,7900,Technology,Jay Y. Lee,54.0,South Korea,Seoul,Samsung,Technology,South Korea,,False,D,M,6/23/1968 0:00,,,1968.0,6.0,23.0,115.16,0.4,"$2,029,000,000,000 ",94.3,98.1,82.6,15.6,33.2,51709098.0,35.907757000000004,127.766922
271,7900,Finance & Investments,Ramzi Musallam,54.0,United States,New York,Private equity,Finance & Investments,United States,,True,U,M,9/17/1968 0:00,New York,Northeast,1968.0,9.0,17.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
272,7900,Finance & Investments,David Shaw,72.0,United States,New York,Hedge funds,Finance & Investments,United States,"D. E. Shaw & Co., L.P.",True,U,M,3/29/1951 0:00,New York,Northeast,1951.0,3.0,29.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
273,7900,Metals & Mining,Andrei Skoch & family,57.0,Russia,Moscow,Metals and mining,Metals & Mining,Russia,,True,U,M,1/30/1966 0:00,,,1966.0,1.0,30.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.31875600000001
274,7900,Diversified,Georg Stumpf,50.0,Austria,Vienna,"Real estate, construction",Diversified,Austria,,True,E,M,9/14/1972 0:00,,,1972.0,9.0,14.0,118.06,1.5,"$446,314,739,528 ",85.1,103.1,81.6,25.4,51.4,8877067.0,47.516231,14.550072
275,7800,Telecom,Rocco Commisso,73.0,United States,Saddle River,Telecom,Telecom,United States,,True,U,M,11/25/1949 0:00,New Jersey,Northeast,1949.0,11.0,25.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
276,7800,Manufacturing,Li Shuirong & family,66.0,China,Hangzhou,Petrochemicals,Manufacturing,China,,True,D,M,7/1/1956 0:00,,,1956.0,7.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
277,7800,Manufacturing,Lin Shu-hong,94.0,Taiwan,Taipei,Petrochemicals,Manufacturing,Taiwan,,True,U,M,8/1/1928 0:00,,,1928.0,8.0,1.0,,,,,,,,,,,
278,7800,Technology,Qi Shi & family,53.0,China,Shanghai,Financial information,Technology,China,,True,D,M,1/3/1970 0:00,,,1970.0,1.0,3.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
279,7800,Manufacturing,Yao Liangsong,58.0,China,Guangzhou,Furniture,Manufacturing,China,,True,D,M,8/1/1964 0:00,,,1964.0,8.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
280,7800,Fashion & Retail,Zhang Congyuan,75.0,Taiwan,Taoyuan,Shoes,Fashion & Retail,Taiwan,,True,D,M,1/1/1948 0:00,,,1948.0,1.0,1.0,,,,,,,,,,,
281,7700,Food & Beverage,Jean-Michel Besnier,55.0,France,Laval,Cheese,Food & Beverage,France,,False,D,M,6/5/1967 0:00,,,1967.0,6.0,5.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
282,7700,Food & Beverage,Marie Besnier Beauvalot,42.0,France,Laval,Cheese,Food & Beverage,France,,False,D,F,7/30/1980 0:00,,,1980.0,7.0,30.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
283,7700,Media & Entertainment,David Geffen,80.0,United States,Beverly Hills,"Movies, record labels",Media & Entertainment,United States,DreamWorks Animation SKG Inc. (Cl A),True,D,M,2/21/1943 0:00,California,West,1943.0,2.0,21.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
284,7700,Technology,Robin Li,54.0,China,Beijing,Internet search,Technology,China,Baidu,True,U,M,11/17/1968 0:00,,,1968.0,11.0,17.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
285,7700,Service,Liu Yonghao & family,71.0,China,Chengdu,Agribusiness,Service,China,,True,D,M,9/1/1951 0:00,,,1951.0,9.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
286,7700,Technology,Henry Samueli,68.0,United States,Newport Beach,Semiconductors,Technology,United States,Broadcom,True,U,M,9/20/1954 0:00,California,West,1954.0,9.0,20.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
287,7700,Healthcare,Reinhold Schmieding,68.0,United States,Naples,Medical devices,Healthcare,United States,,True,U,M,1/3/1955 0:00,Florida,South,1955.0,1.0,3.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
288,7700,Real Estate,Ivar Tollefsen,61.0,Norway,Oslo,Real estate,Real Estate,Norway,,True,U,M,6/23/1961 0:00,,,1961.0,6.0,23.0,120.27,2.2,"$403,336,363,636 ",82.0,100.3,82.8,23.9,36.2,5347896.0,60.472024,8.468946
289,7600,Energy,Cao Renxian,54.0,China,Hefei,Photovoltaic equipment,Energy,China,,True,D,M,7/24/1968 0:00,,,1968.0,7.0,24.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
290,7600,Healthcare,Hasmukh Chudgar & family,89.0,India,Ahmedabad,Pharmaceuticals,Healthcare,India,,True,U,M,9/19/1933 0:00,,,1933.0,9.0,19.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
291,7600,Manufacturing,Andrew Currie,67.0,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,,True,U,M,12/4/1955 0:00,,,1955.0,12.0,4.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
292,7600,Technology,Joe Gebbia,41.0,United States,Austin,Airbnb,Technology,United States,"Airbnb, Inc.",True,D,M,8/21/1981 0:00,Texas,South,1981.0,8.0,21.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
293,7600,Real Estate,Philip Ng,64.0,Singapore,Singapore,Real Estate,Real Estate,Singapore,,False,Split Family Fortune,M,1/1/1959 0:00,,,1959.0,1.0,1.0,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
294,7600,Manufacturing,John Reece,66.0,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,,True,U,M,3/7/1957 0:00,,,1957.0,3.0,7.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
295,7600,Real Estate,Leonard Stern,85.0,United States,New York,Real estate,Real Estate,United States,"Hartz Mountain Industries, Inc.",False,U,M,3/28/1938 0:00,New York,Northeast,1938.0,3.0,28.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
296,7600,Technology,Joseph Tsai,59.0,Hong Kong,Hong Kong,E-commerce,Technology,Canada,,True,D,M,1/19/1964 0:00,,,1964.0,1.0,19.0,,,,,,,,,,,
297,7600,Healthcare,Zhong Huijuan,62.0,China,Shanghai,Pharmaceuticals,Healthcare,China,,True,D,F,1/1/1961 0:00,,,1961.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
298,7500,Sports,Arthur Blank,80.0,United States,Atlanta,Home Depot,Sports,United States,Atlanta Falcons,True,U,M,9/27/1942 0:00,Georgia,South,1942.0,9.0,27.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
299,7500,Fashion & Retail,Charles Butt,85.0,United States,San Antonio,Supermarkets,Fashion & Retail,United States,,False,R,M,2/3/1938 0:00,Texas,South,1938.0,2.0,3.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
300,7500,Fashion & Retail,Ding Shijia,59.0,China,Quanzhou,Sports apparel,Fashion & Retail,China,,True,D,M,1/1/1964 0:00,,,1964.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
301,7500,Finance & Investments,"Paul Tudor Jones, II.",68.0,United States,Palm Beach,Hedge funds,Finance & Investments,United States,Tudor Investment Corporation,True,U,M,9/28/1954 0:00,Florida,South,1954.0,9.0,28.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
302,7500,Finance & Investments,Henry Kravis,79.0,United States,New York,Private equity,Finance & Investments,United States,KKR & Co.,True,D,M,1/6/1944 0:00,New York,Northeast,1944.0,1.0,6.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
303,7500,Food & Beverage,Zhang Yong,52.0,Singapore,Singapore,Restaurants,Food & Beverage,Singapore,,True,U,M,7/1/1970 0:00,,,1970.0,7.0,1.0,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
304,7400,Technology,James Goodnight,80.0,United States,Cary,Software,Technology,United States,SAS Institute,True,U,M,1/6/1943 4:00,North Carolina,South,1943.0,1.0,6.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
305,7400,Manufacturing,Sri Prakash Lohia,70.0,United Kingdom,London,Petrochemicals,Manufacturing,Indonesia,,False,U,M,8/11/1952 0:00,,,1952.0,8.0,11.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
306,7400,Fashion & Retail,Ma Jianrong,59.0,China,Ningbo,"Textiles, apparel",Fashion & Retail,China,,True,D,M,1/1/1964 0:00,,,1964.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
307,7400,Real Estate,Robert Ng,71.0,Singapore,Singapore,Real estate,Real Estate,Singapore,,False,Split Family Fortune,M,1/1/1952 0:00,,,1952.0,1.0,1.0,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
308,7400,Manufacturing,Steven Rales,72.0,United States,Santa Barbara,"Manufacturing, investments",Manufacturing,United States,Danaher,True,D,M,3/31/1951 0:00,California,West,1951.0,3.0,31.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
309,7400,Construction & Engineering,Nassef Sawiris,62.0,Egypt,Cairo,"Construction, investments",Construction & Engineering,Egypt,,False,D,M,1/19/1961 0:00,,,1961.0,1.0,19.0,288.57,9.2,"$303,175,127,598 ",35.2,106.3,71.8,12.5,44.4,100388073.0,26.820553000000004,30.802497999999996
310,7400,Food & Beverage,Harry Stine,81.0,United States,Adel,Agriculture,Food & Beverage,United States,,True,U,M,11/30/1941 0:00,Iowa,Midwest,1941.0,11.0,30.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
311,7300,Manufacturing,Benu Gopal Bangur,91.0,India,Kolkata,Cement,Manufacturing,India,,False,U,M,6/1/1931 0:00,,,1931.0,6.0,1.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
312,7300,Metals & Mining,Iskander Makhmudov,59.0,Russia,Moscow,"Mining, metals, machinery",Metals & Mining,Russia,,True,U,M,12/5/1963 0:00,,,1963.0,12.0,5.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.31875600000001
313,7300,Fashion & Retail,Anders Holch Povlsen,50.0,Denmark,Aarhus,Fashion retail,Fashion & Retail,Denmark,,False,D,M,11/4/1972 0:00,,,1972.0,11.0,4.0,110.35,0.8,"$348,078,018,464 ",80.6,101.3,81.0,32.4,23.8,5818553.0,56.26392,9.501785
314,7300,Logistics,Enrique Razon Jr.,63.0,Philippines,Manila,Ports,Logistics,Philippines,,False,U,M,3/3/1960 0:00,,,1960.0,3.0,3.0,129.61,2.5,"$376,795,508,680 ",35.5,107.5,71.1,14.0,43.1,108116615.0,12.879721,121.77401699999999
315,7300,Technology,Wang Laichun,55.0,China,Shenzhen,Electronics components,Technology,Hong Kong,,True,D,F,6/3/1967 0:00,,,1967.0,6.0,3.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
316,7200,Finance & Investments,Arthur Dantchik,65.0,United States,Gladwyne,"Trading, investments",Finance & Investments,United States,,True,N,M,11/25/1957 0:00,Pennsylvania,Northeast,1957.0,11.0,25.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
317,7200,Technology,Terry Gou,72.0,Taiwan,Taipei,Electronics,Technology,Taiwan,Hon Hai Precision Industries,True,U,M,10/18/1950 0:00,,,1950.0,10.0,18.0,,,,,,,,,,,
318,7200,Real Estate,Jeff Greene,68.0,United States,Palm Beach,"Real estate, investments",Real Estate,United States,,True,U,M,12/10/1954 0:00,Florida,South,1954.0,12.0,10.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
319,7200,Finance & Investments,Don Hankey,79.0,United States,Malibu,Auto loans,Finance & Investments,United States,Hankey Group,True,U,M,6/13/1943 0:00,California,West,1943.0,6.0,13.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
320,7200,Energy,Richard Kinder,78.0,United States,Houston,Pipelines,Energy,United States,Kinder Morgan Inc,True,D,M,10/19/1944 0:00,Texas,South,1944.0,10.0,19.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
321,7200,Finance & Investments,Guillaume Pousaz,41.0,United Arab Emirates,Dubai,Fintech,Finance & Investments,Switzerland,,True,D,M,8/15/1981 0:00,,,1981.0,8.0,15.0,114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818000000004
322,7200,Fashion & Retail,Takahisa Takahara,61.0,Japan,Tokyo,Personal care goods,Fashion & Retail,Japan,,False,U,M,7/12/1961 0:00,,,1961.0,7.0,12.0,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
323,7200,Food & Beverage,Zong Qinghou,77.0,China,Hangzhou,Beverages,Food & Beverage,China,Hangzhou Wahaha Group,True,D,M,10/1/1945 0:00,,,1945.0,10.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
324,7100,Technology,Judy Faulkner,79.0,United States,Madison,Healthcare software,Technology,United States,Epic Systems,True,U,F,8/1/1943 0:00,Wisconsin,Midwest,1943.0,8.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
325,7100,Gambling & Casinos,Johann Graf,76.0,Austria,Vienna,Gambling,Gambling & Casinos,Austria,,True,U,M,1/3/1947 0:00,,,1947.0,1.0,3.0,118.06,1.5,"$446,314,739,528 ",85.1,103.1,81.6,25.4,51.4,8877067.0,47.516231,14.550072
326,7100,Service,Tamara Gustavson,61.0,United States,Lexington,Self storage,Service,United States,,False,D,F,11/16/1961 0:00,Kentucky,South,1961.0,11.0,16.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
327,7100,Manufacturing,Liang Wengen,66.0,China,Changsha,Construction equipment,Manufacturing,China,,True,D,M,12/14/1956 0:00,,,1956.0,12.0,14.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
