 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve
113,48,4,4,17,47,7,15
131,53,4,3,6,19,14,134
131,54,4,4,10,30,8,27
46,33,8,27,86,73,4,3
107,44,4,5,5,20,16,159
126,57,4,3,5,18,16,167
129,50,4,3,10,37,9,36
109,50,4,3,6,21,12,83
106,46,4,4,6,22,12,92
131,45,4,4,6,23,12,89
115,57,4,3,112,96,3,2
126,55,4,3,5,18,16,199
118,43,4,5,5,17,15,169
98,46,4,5,6,19,11,84
113,43,4,5,5,17,14,154
101,52,4,4,5,16,15,180
117,52,4,3,4,14,27,558
141,53,3,3,24,56,6,7
112,47,4,4,6,24,12,88
129,59,3,3,8,28,10,55
102,46,4,4,5,17,16,181
95,51,4,4,13,44,8,19
125,53,4,3,7,23,12,88
54,34,7,22,82,91,4,2
137,50,3,4,8,27,10,51
119,48,4,3,12,38,8,23
131,58,3,3,8,28,10,49
106,49,4,4,7,26,11,61
112,48,4,4,5,14,17,264
124,58,4,3,6,19,13,108
122,59,4,3,7,24,11,63
110,49,4,4,6,20,12,99
24,47,7,18,113,60,4,4
131,64,4,2,21,59,7,12
127,59,4,3,6,20,11,77
108,59,4,3,5,17,14,155
119,52,4,4,5,16,16,193
140,53,4,3,5,18,15,160
70,41,6,12,15,44,7,19
115,50,4,4,6,21,13,113
99,55,4,4,33,69,5,6
112,52,4,3,10,36,9,33
58,41,7,15,73,77,4,3
128,56,4,4,6,17,13,134
93,47,4,4,7,26,11,64
135,54,3,3,7,22,11,74
127,52,3,3,17,52,7,14
138,53,4,3,10,37,9,32
101,49,4,4,6,18,12,101
117,60,4,3,37,73,5,5
109,46,4,4,10,34,9,33
131,53,3,4,9,26,9,39
129,56,3,4,7,28,11,57
131,46,4,4,37,71,5,5
88,41,4,6,10,33,9,31
136,49,3,4,5,19,13,112
100,47,4,5,6,19,11,82
122,49,4,4,8,31,10,44
109,53,4,3,5,17,15,164
132,58,4,3,6,18,12,100
113,56,4,3,6,21,13,103
150,60,3,3,8,29,9,40
145,58,3,3,5,16,17,219
124,53,4,3,5,15,15,201
114,55,4,3,5,16,15,170
99,44,4,5,14,40,7,17
139,85,4,2,7,23,11,67
106,50,4,4,5,18,14,144
116,52,4,4,6,18,13,118
149,57,3,3,7,27,11,69
109,56,4,3,6,23,12,74
123,53,3,3,7,21,11,69
124,54,4,3,6,16,14,161
116,48,4,4,4,15,21,332
99,54,4,4,6,22,12,80
129,56,3,3,7,27,11,67
119,52,3,4,7,26,12,79
122,57,4,3,7,22,11,71
103,51,4,4,5,14,18,270
131,54,4,3,5,18,16,196
133,49,4,4,6,19,12,102
87,42,4,6,6,18,13,113
91,45,4,5,4,12,29,702
116,56,4,3,5,14,17,272
126,56,4,3,6,21,12,84
113,44,4,4,27,64,6,8
147,48,4,4,5,20,14,125
149,49,3,4,6,17,13,123
103,38,4,6,5,18,14,129
89,40,4,6,4,15,21,335
112,47,4,4,5,14,18,317
114,46,4,4,7,29,11,54
135,48,4,4,6,21,12,91
145,51,4,4,7,25,11,59
121,55,4,3,11,40,8,25
114,45,4,5,6,18,13,124
129,52,3,3,5,19,15,152
106,47,4,5,8,29,10,48
134,55,4,3,12,39,8,23
108,51,4,4,16,47,7,15
120,49,4,3,6,21,13,112
134,54,3,3,6,23,12,81
117,57,4,3,7,24,10,53
115,58,4,3,7,23,12,91
97,50,4,4,7,28,11,65
148,56,3,4,5,15,16,234
105,52,4,4,6,23,11,73
119,49,4,4,4,12,30,781
135,54,4,3,7,28,11,66
130,53,4,3,6,17,13,128
36,34,9,35,50,67,5,6
120,53,4,3,38,68,5,4
102,42,4,5,8,27,10,55
99,50,4,4,13,38,7,17
128,45,4,4,7,24,10,55
114,50,4,4,40,73,5,4
134,48,4,4,7,21,12,92
145,49,4,3,7,24,11,59
123,58,4,3,6,21,13,99
97,41,4,5,5,18,14,123
109,50,4,4,5,17,15,157
127,50,4,4,10,31,9,31
114,52,4,3,7,26,11,62
120,59,4,3,6,20,13,120
145,55,3,3,6,18,14,135
133,57,3,3,6,26,12,74
121,55,4,3,6,21,12,85
118,53,4,3,7,24,11,64
113,50,4,4,7,22,10,64
115,55,4,3,5,16,16,192
118,54,4,3,9,28,9,37
103,46,4,5,5,16,17,222
86,43,4,5,6,20,11,77
107,55,4,3,5,18,14,140
113,50,4,3,8,28,10,48
105,52,4,3,5,17,16,204
123,53,4,3,7,24,11,74
124,55,3,3,7,21,11,70
26,35,9,40,120,61,4,4
138,56,3,3,6,17,13,131
131,62,4,3,6,16,14,155
95,49,4,4,6,20,13,108
87,41,4,7,5,16,16,181
112,38,4,6,7,23,10,58
122,54,4,3,8,23,10,56
113,52,4,4,4,16,18,249
18,38,8,28,129,58,4,4
123,47,4,4,6,21,12,87
110,42,4,5,12,39,8,19
135,50,4,4,5,21,14,132
91,46,5,5,8,30,11,56
110,49,4,4,8,31,11,55
82,48,5,7,20,53,7,13
128,53,3,3,7,26,11,66
149,58,3,3,6,22,14,115
115,55,4,4,7,27,10,54
123,49,4,4,10,36,9,33
82,40,5,8,10,37,9,31
111,48,4,4,7,26,11,59
97,45,5,7,6,26,12,88
117,50,4,4,5,19,14,130
84,43,5,10,20,55,7,12
112,55,4,4,6,18,12,104
130,53,3,4,6,21,13,100
132,58,4,3,28,61,6,7
132,60,4,3,7,23,10,61
124,57,4,3,17,46,7,13
143,51,3,4,6,19,13,114
141,50,3,4,8,26,10,54
54,64,5,6,73,71,4,3
144,45,3,4,6,21,12,87
114,52,4,4,6,17,13,137
113,40,4,5,4,15,20,294
117,47,4,4,6,18,13,127
139,56,4,3,7,25,11,69
114,54,4,3,9,33,9,37
128,51,4,3,6,17,14,155
139,57,3,3,4,14,23,406
105,45,4,5,5,15,16,209
112,48,4,4,8,31,10,50
105,49,4,4,5,15,18,262
90,39,5,7,7,29,11,66
146,58,4,3,13,40,7,17
48,45,7,15,48,70,5,4
108,49,4,4,8,29,10,44
125,58,4,3,7,24,11,65
128,53,4,3,6,21,13,98
135,52,4,3,22,53,6,11
115,47,4,4,6,16,14,156
47,47,7,17,115,79,4,3
130,52,4,3,7,21,10,63
78,58,5,6,56,80,5,4
121,44,4,5,7,24,12,80
84,41,5,6,5,16,14,170
151,54,3,4,111,114,4,2
108,49,4,4,5,18,14,146
120,54,4,3,5,15,16,221
141,46,4,4,7,23,10,59
125,51,4,4,6,19,12,102
138,54,4,3,20,52,6,11
146,52,3,4,6,16,14,166
103,42,4,5,6,22,13,101
106,56,4,3,17,42,7,13
89,42,4,5,5,17,16,175
128,41,4,5,6,25,12,84
131,58,3,3,7,27,11,59
82,43,4,6,5,20,17,200
142,47,3,4,6,22,12,85
101,40,4,6,6,21,12,79
125,44,4,5,6,17,14,151
98,45,4,5,6,21,13,102
124,44,4,4,5,19,16,181
134,55,3,3,6,17,14,146
119,40,4,5,4,15,19,275
123,54,4,3,6,22,12,93
114,54,4,3,6,21,11,74
136,50,4,3,7,23,12,80
114,47,4,4,8,28,10,53
112,46,4,4,5,16,16,188
125,48,4,4,4,16,23,377
132,59,3,3,6,17,14,151
109,44,4,4,7,24,11,61
123,58,4,3,8,30,10,52
122,57,3,3,15,42,7,15
146,54,3,3,7,23,12,93
128,54,4,3,4,13,23,484
124,59,4,3,7,23,10,61
122,42,4,4,5,16,16,208
87,40,4,6,8,31,10,47
109,51,4,3,6,19,13,107
103,55,4,3,7,23,11,66
109,50,4,4,6,26,12,80
96,47,4,5,19,47,7,12
86,39,5,8,7,25,10,52
106,41,4,5,6,23,11,71
128,47,4,4,8,31,10,51
101,56,4,4,5,15,16,203
134,52,4,3,6,18,13,119
109,51,4,4,6,19,13,115
109,38,4,6,4,14,21,365
160,42,3,5,44,73,5,3
100,43,4,5,5,20,14,115
110,38,4,6,5,17,16,197
116,54,4,3,5,17,14,145
134,51,4,3,5,16,14,180
142,54,3,4,6,17,14,137
139,58,3,3,5,17,17,227
122,43,4,4,5,19,14,124
123,50,3,3,9,29,9,33
97,39,4,6,6,24,13,96
123,55,3,3,27,54,5,6
123,49,4,4,6,18,13,118
119,61,4,3,8,24,10,54
113,49,4,3,5,14,19,288
86,38,4,7,8,25,10,56
111,42,4,4,6,18,13,128
127,46,4,4,7,25,11,68
114,48,4,4,11,37,8,27
117,48,4,4,8,23,10,51
99,49,4,4,6,19,13,117
90,37,4,8,6,20,12,90
116,51,4,4,7,24,10,51
139,47,4,4,6,17,13,139
118,56,4,3,5,20,15,142
94,54,4,4,5,18,14,135
142,45,3,4,5,16,15,176
147,50,3,3,14,41,7,17
101,49,4,4,8,29,10,46
125,56,4,3,7,25,10,51
88,38,4,7,5,18,14,137
121,50,4,4,6,22,12,85
118,45,4,5,5,16,18,221
33,34,8,33,51,80,5,4
125,57,4,3,9,31,9,36
116,55,4,3,7,24,12,88
138,56,3,3,5,18,16,171
124,49,4,4,5,20,15,151
83,45,4,5,7,20,11,72
55,32,8,29,29,64,6,8
126,58,3,3,9,32,9,39
134,52,3,3,9,31,9,39
119,43,4,5,5,15,17,220
113,47,4,4,5,14,19,303
112,58,4,3,6,25,12,75
100,53,4,4,4,14,19,295
120,56,4,3,5,19,14,117
112,53,4,4,10,36,9,32
98,52,4,3,4,16,19,275
143,45,3,4,6,20,13,108
107,40,4,5,7,28,11,58
103,48,4,4,8,29,9,41
132,51,4,3,13,40,8,20
115,50,4,4,6,17,13,132
138,52,3,4,6,22,13,95
112,42,4,5,14,42,7,16
109,49,4,4,5,16,17,209
99,44,4,5,6,18,13,125
114,48,4,4,6,18,14,147
123,60,4,3,8,28,10,51
29,39,9,33,95,73,4,3
116,45,4,4,5,14,19,318
129,49,4,4,5,18,17,194
121,55,4,3,36,66,5,5
135,62,3,3,8,32,10,50
118,49,4,4,6,17,13,140
132,45,4,4,5,17,15,155
122,56,4,3,6,18,14,150
96,38,4,6,7,29,11,65
137,51,3,4,9,29,9,39
138,53,3,3,9,30,10,45
135,55,3,3,8,31,10,50
136,56,3,3,21,56,7,11
107,45,4,4,10,34,9,35
101,47,4,4,8,31,10,41
99,41,4,6,7,21,11,77
140,54,3,3,8,29,9,39
63,34,6,17,10,40,9,33
126,50,4,3,5,15,16,243
20,36,9,36,98,75,4,3
43,38,7,23,37,68,5,6
76,38,6,12,8,29,10,52
87,39,4,6,6,19,13,112
118,49,4,4,6,22,12,80
124,56,4,3,7,26,11,62
135,52,3,4,4,16,19,255
146,53,3,3,7,26,11,61
119,44,4,5,5,22,14,123
111,57,4,4,7,26,12,80
127,56,4,3,6,18,13,124
121,60,4,3,6,20,12,96
120,46,4,4,6,20,14,123
117,48,4,4,5,15,17,228
74,48,5,6,143,88,3,3
33,33,10,45,79,77,4,3
21,36,9,37,102,74,4,3
110,51,4,4,6,20,13,111
119,49,4,4,17,47,7,13
117,56,4,3,6,22,12,87
125,54,3,3,27,62,6,7
129,51,4,4,11,38,8,27
89,48,4,4,6,19,12,98
150,51,3,4,6,22,13,116
121,55,4,4,5,15,18,276
43,46,7,14,126,82,3,2
83,38,5,10,19,53,7,14
133,53,3,3,4,14,21,385
143,53,3,3,5,15,17,234
111,47,4,4,8,28,10,53
109,49,4,4,6,18,13,123
131,57,4,3,6,23,13,105
100,44,4,5,5,14,19,288
147,53,3,3,17,48,7,14
142,63,3,3,12,37,8,22
44,37,7,23,100,80,4,3
118,59,4,3,6,19,13,109
81,39,5,7,9,30,9,34
124,54,4,3,7,25,11,72
152,54,3,4,6,21,13,104
95,38,4,6,8,24,10,54
102,45,4,4,5,22,14,124
100,49,4,5,5,16,17,218
131,61,3,3,6,18,15,173
131,57,3,3,4,12,26,575
87,36,5,9,10,37,9,30
111,45,4,4,5,16,15,195
143,56,3,3,9,32,10,42
123,50,4,4,10,34,9,34
115,50,4,4,7,23,12,77
128,47,4,4,5,19,15,154
135,57,4,3,10,32,8,28
117,45,4,4,6,19,12,92
132,51,3,4,5,19,16,171
143,57,4,3,13,39,8,19
91,42,4,6,6,19,13,109
133,52,4,4,9,32,10,43
110,50,4,4,7,26,10,57
124,56,4,3,8,28,10,51
128,60,4,3,21,53,6,11
146,53,3,3,6,21,13,112
118,55,4,3,10,30,8,33
130,58,4,3,9,29,9,39
136,53,3,3,9,33,9,38
27,39,8,27,126,79,3,3
49,34,7,23,76,92,4,2
93,40,4,6,6,21,13,96
149,54,3,3,4,11,32,884
111,49,4,4,5,18,14,138
112,49,4,4,7,25,10,54
118,47,4,4,6,18,13,116
137,54,3,3,6,20,13,104
130,48,4,4,5,17,14,156
136,49,4,4,5,18,15,150
110,47,4,4,7,25,11,69
131,44,4,5,6,21,13,102
129,56,4,3,6,22,12,91
96,42,4,5,6,17,14,146
106,47,4,5,6,21,13,120
112,41,4,6,5,14,20,352
59,34,7,21,68,86,4,3
94,47,4,4,5,16,17,206
15,35,9,40,159,73,3,3
116,33,4,8,6,21,12,90
121,50,4,3,5,15,16,212
105,43,4,5,5,15,16,218
121,49,4,4,6,20,12,91
177,50,2,5,79,105,4,2
134,54,3,3,6,20,13,110
159,48,3,4,5,16,14,168
112,50,4,4,5,17,19,250
97,48,4,4,5,16,15,181
128,49,4,4,5,16,19,274
112,57,4,3,5,16,15,182
120,60,4,3,8,29,10,46
132,55,4,3,5,19,17,200
147,56,3,3,6,18,12,111
114,47,4,4,5,15,17,234
80,48,5,8,5,18,16,186
110,47,4,4,6,24,13,91
137,53,4,3,6,16,14,155
104,53,4,4,6,20,13,104
151,50,3,4,14,45,7,18
129,57,4,3,7,28,11,58
136,57,3,3,6,24,12,88
139,45,3,4,6,21,12,93
135,54,3,3,16,47,7,15
112,49,4,4,8,27,10,55
143,53,3,3,5,18,16,173
113,57,4,3,5,16,14,159
114,41,4,5,7,26,11,67
107,46,4,5,6,17,14,152
138,50,3,4,6,19,12,107
121,51,4,3,6,17,13,133
118,47,4,4,7,29,11,60
125,47,3,4,6,20,13,111
139,48,3,4,7,22,11,67
129,41,4,4,5,19,14,121
147,58,3,3,8,24,10,55
121,50,4,3,12,37,8,22
125,54,4,3,5,15,16,214
110,61,4,3,8,28,10,47
104,53,4,4,5,16,15,180
144,57,3,3,10,35,9,33
89,40,4,6,6,19,12,94
101,48,4,4,5,16,15,185
143,48,3,4,5,16,16,191
120,59,4,3,6,22,12,87
113,51,4,4,5,14,20,349
125,46,4,4,7,26,11,59
111,40,4,5,6,22,12,79
127,50,4,4,12,41,8,22
110,53,4,4,6,20,13,104
75,43,6,11,60,84,4,3
115,47,4,4,14,41,7,16
131,66,4,3,5,18,13,130
131,58,3,3,7,22,10,60
122,64,4,3,7,24,11,69
128,58,4,3,5,16,18,239
133,54,3,3,4,12,31,821
113,44,4,5,7,21,10,59
84,41,4,6,5,19,14,137
103,38,4,6,6,16,15,181
146,50,3,4,4,14,20,331
88,41,4,6,5,16,14,162
125,51,3,4,9,31,9,41
90,41,4,5,8,30,10,54
143,47,3,4,6,19,12,95
126,63,3,3,7,29,11,67
117,48,4,4,7,21,11,74
149,46,4,4,9,31,9,37
51,36,7,20,133,83,3,2
97,47,4,4,5,21,15,137
115,52,4,3,5,15,16,240
134,56,3,3,13,41,8,22
127,56,3,3,6,16,13,149
126,54,4,3,6,18,14,132
105,53,4,4,4,13,24,493
68,52,6,9,105,74,4,3
138,57,3,3,7,23,12,77
133,55,3,3,15,46,7,18
128,49,4,4,6,23,12,91
92,39,4,6,5,19,14,127
127,53,4,3,5,18,17,202
147,52,3,3,8,26,11,59
127,51,4,4,14,45,7,18
132,58,3,3,5,20,14,130
76,45,6,11,39,65,5,6
19,41,9,29,163,80,3,3
107,75,4,2,21,54,6,10
125,54,4,3,5,17,18,229
148,56,3,3,5,18,16,184
125,55,4,4,6,26,12,82
81,61,5,5,112,96,3,2
133,54,4,3,6,17,14,157
134,52,4,4,6,20,13,101
84,39,4,7,6,23,13,102
94,48,4,4,7,24,12,77
101,51,4,4,31,64,6,6
111,48,4,4,7,23,10,59
99,40,4,6,5,18,14,139
102,49,4,4,15,46,7,17
130,55,3,3,11,36,8,24
141,48,3,4,5,18,15,163
133,57,4,3,14,42,8,21
123,51,4,4,5,17,15,155
117,46,4,4,5,16,19,273
132,49,4,4,5,18,15,153
127,56,4,3,9,33,9,34
106,42,4,5,18,49,7,12
143,73,3,3,9,33,9,38
148,60,3,3,9,32,10,45
113,44,4,5,4,14,20,335
155,54,3,3,9,34,9,38
113,43,4,5,6,22,12,81
138,59,3,3,149,99,3,2
104,55,4,4,7,24,11,65
128,49,4,4,6,20,11,84
123,43,3,4,7,29,11,60
127,50,4,3,5,19,16,164
105,52,5,5,85,85,4,2
91,45,4,4,6,24,13,101
113,53,4,3,5,14,19,328
109,51,4,4,5,16,15,168
115,47,4,4,6,20,11,82
136,58,3,3,5,18,15,161
134,50,4,4,5,16,16,198
133,51,4,4,6,18,14,143
123,43,4,4,6,19,12,95
115,54,4,4,5,16,18,247
128,53,3,3,5,15,15,199
126,60,4,3,7,24,11,67
149,55,3,3,11,34,8,30
146,55,3,3,6,23,13,95
104,48,4,4,12,36,8,26
102,51,4,5,7,22,11,76
152,51,3,3,8,28,10,49
135,50,4,3,9,33,9,35
98,47,4,5,5,19,16,163
136,56,4,3,7,22,11,74
14,33,10,47,96,61,5,4
107,48,4,4,4,14,23,400
62,38,6,15,23,53,6,12
117,53,4,4,6,16,14,158
107,45,4,4,8,25,10,53
143,50,4,4,20,58,7,12
146,61,3,3,18,50,7,12
127,56,4,3,5,18,16,170
118,58,4,3,10,31,8,26
103,45,4,5,7,24,10,52
178,54,2,5,29,61,5,5
109,48,4,4,10,37,9,34
115,59,4,3,12,35,8,25
156,51,3,5,121,105,3,2
86,41,4,6,5,16,16,189
118,54,4,3,14,43,7,16
115,48,4,4,6,25,13,92
28,34,9,39,37,69,6,7
124,49,4,3,6,25,11,70
155,49,3,4,11,34,9,34
122,52,4,4,5,15,17,228
96,46,4,4,15,38,7,14
129,55,3,3,6,24,12,82
52,35,7,20,13,42,8,21
67,37,6,15,20,56,7,13
139,56,4,3,8,33,10,45
91,52,4,4,64,87,4,3
111,45,4,4,6,19,12,93
110,52,4,4,7,22,10,57
123,47,4,4,5,16,18,255
113,50,4,4,7,28,11,59
131,57,3,3,4,12,27,651
110,55,4,4,6,19,14,142
146,43,3,5,5,15,15,199
140,46,3,4,6,20,12,96
117,51,4,3,10,37,9,32
127,48,3,4,7,23,11,66
121,53,4,4,7,22,11,72
119,53,4,4,7,24,12,77
134,52,3,3,6,23,12,83
140,53,3,3,7,24,11,71
96,42,4,5,7,28,11,58
114,47,4,4,6,19,13,113
111,43,4,5,4,14,23,424
125,53,4,3,6,20,12,87
103,48,4,4,10,37,9,30
87,42,4,5,6,17,14,162
133,58,3,3,5,15,16,210
38,35,9,35,45,65,5,6
134,62,4,3,8,31,10,44
111,45,4,5,8,31,10,46
95,45,4,5,8,26,10,49
123,60,4,3,6,26,12,83
115,44,4,4,5,16,16,197
98,39,4,6,7,19,11,77
46,41,7,21,39,67,5,6
90,41,4,5,6,21,12,90
133,52,3,4,10,32,9,39
110,49,4,4,6,18,12,112
73,46,6,10,48,70,5,5
95,58,4,3,5,14,18,286
103,50,4,4,6,19,13,106
27,35,9,33,45,66,5,5
129,57,4,3,5,20,14,128
103,54,4,4,6,21,14,128
140,50,3,4,21,55,6,10
126,53,4,3,7,23,11,69
86,41,4,6,8,31,10,53
137,58,3,3,6,17,14,148
121,53,4,3,6,24,12,86
124,60,4,3,6,20,12,89
131,65,4,3,6,25,13,102
137,56,3,3,5,18,14,130
80,42,4,6,5,17,17,197
121,46,4,4,13,41,8,19
116,45,4,4,6,24,12,79
104,46,4,4,6,18,12,107
117,54,4,3,6,18,13,112
148,51,3,4,8,29,10,50
129,53,4,3,5,16,16,199
116,49,4,4,6,19,13,120
117,47,4,4,5,16,16,201
88,45,4,6,6,22,13,112
136,64,3,3,7,20,11,68
104,40,4,5,6,21,13,96
129,46,4,5,5,19,15,151
101,55,4,4,5,19,13,116
84,42,4,6,7,23,12,80
85,43,4,6,6,17,13,137
120,62,4,3,7,24,10,58
130,55,4,3,7,28,11,63
123,55,3,3,26,66,6,9
136,53,3,3,6,21,12,80
136,58,3,3,8,29,10,54
158,50,3,4,11,34,9,34
115,51,4,4,8,29,10,50
119,51,4,3,5,20,15,150
109,53,4,4,7,24,12,83
120,55,4,3,5,17,14,143
148,47,3,4,7,26,11,63
120,49,4,3,5,16,15,178
107,61,4,3,5,16,18,252
138,50,3,4,5,18,14,136
138,54,3,3,6,22,12,88
145,46,3,4,4,14,23,441
105,44,4,5,9,27,10,45
125,48,4,4,5,19,16,163
130,55,3,3,7,24,10,58
128,59,3,3,7,26,11,59
181,57,2,5,39,86,5,5
48,35,8,24,42,65,5,6
134,53,4,4,8,32,10,50
122,57,4,3,35,65,5,5
149,50,3,3,6,20,12,85
138,52,3,4,5,15,15,193
92,39,4,6,6,17,13,120
127,47,4,4,8,30,10,49
133,57,3,3,6,20,12,87
122,59,4,3,8,25,10,52
114,52,4,4,9,34,9,38
125,43,4,5,8,24,10,55
131,57,3,3,6,18,12,111
116,51,4,4,4,13,21,408
110,46,4,4,7,23,11,62
125,45,4,4,8,27,10,53
134,55,4,3,12,34,7,17
132,51,4,4,5,14,20,335
101,36,4,7,5,16,18,249
121,51,4,3,6,18,12,112
131,52,4,4,47,76,5,3
115,40,4,6,5,20,15,141
131,59,4,3,6,20,14,122
141,55,4,3,5,15,18,261
141,52,3,3,7,23,11,76
108,58,4,3,7,22,10,54
127,57,3,3,5,19,16,166
114,51,4,4,6,21,13,102
116,44,4,4,6,21,12,100
117,55,4,3,5,15,17,249
131,47,4,4,7,24,10,54
58,45,7,15,91,77,4,3
129,55,3,3,22,56,6,10
117,55,4,3,6,18,13,115
36,33,9,35,34,62,6,8
134,57,4,3,6,26,12,78
30,35,9,35,138,76,4,2
132,50,3,4,12,38,8,26
121,57,4,4,140,67,3,3
94,39,4,6,5,21,14,127
13,36,9,39,110,66,4,3
121,56,4,3,4,14,22,375
107,54,4,3,4,13,24,472
120,54,4,3,10,38,9,30
130,55,4,3,17,49,7,13
127,52,4,4,6,24,12,91
107,40,4,5,7,19,11,86
131,60,3,3,9,30,9,32
115,47,4,4,5,17,19,254
123,53,4,4,6,17,13,134
118,51,4,3,13,34,8,22
116,58,4,3,7,20,12,93
101,42,4,5,15,45,7,16
138,59,3,3,6,22,11,72
127,58,3,3,7,24,11,58
124,48,4,4,8,33,10,47
101,47,4,6,5,22,14,123
114,46,4,4,7,23,11,71
141,49,3,4,6,25,13,92
144,45,3,4,6,19,13,120
110,49,4,4,5,16,15,175
111,49,4,5,5,15,18,244
99,51,4,5,9,28,9,44
53,34,7,25,26,60,6,10
127,44,4,4,7,21,12,82
138,49,4,3,36,73,5,5
143,51,3,3,8,28,10,43
123,50,4,4,7,25,11,68
90,42,4,5,5,15,17,251
108,40,4,5,5,15,18,277
139,52,3,4,5,15,17,265
41,47,7,17,77,72,4,4
117,54,3,3,14,45,7,18
113,53,4,4,6,19,12,99
145,39,3,5,14,44,7,18
129,48,4,4,6,19,12,90
99,47,4,4,7,28,11,55
96,39,5,9,18,50,7,14
27,38,9,33,84,75,4,3
117,50,4,4,5,18,14,140
90,53,4,5,7,23,13,100
139,50,4,3,10,32,8,27
121,55,4,3,13,43,8,21
121,56,4,3,5,20,16,159
122,56,4,3,7,24,11,62
90,39,5,7,8,32,10,43
120,58,3,3,6,26,12,78
94,53,4,4,6,17,14,144
90,45,4,5,7,24,12,84
101,48,4,5,6,22,14,129
116,50,4,4,6,19,13,123
89,44,4,5,6,23,12,87
122,61,4,3,5,16,15,182
142,48,4,4,5,18,19,238
132,56,4,3,5,16,15,198
111,49,4,4,8,26,10,52
129,49,4,3,10,34,9,35
116,36,4,6,5,16,16,186
136,57,3,3,5,15,17,260
109,46,4,4,6,18,13,121
114,54,4,3,6,22,12,91
119,51,4,3,16,45,7,14
126,56,4,3,6,22,12,88
139,47,4,4,8,26,10,45
133,55,4,3,6,19,14,125
103,42,4,5,8,32,10,52
125,55,3,3,7,26,10,57
118,44,4,5,4,14,19,315
104,45,4,4,5,15,19,305
120,58,4,3,5,16,15,185
106,52,4,4,6,21,12,94
110,49,4,4,5,17,15,173
114,52,4,3,6,22,13,93
124,54,4,3,6,21,14,122
126,49,4,4,5,18,14,139
134,55,3,3,7,22,11,78
141,43,4,4,13,42,8,21
126,57,3,3,5,19,18,207
146,49,3,4,6,24,12,84
113,52,4,4,6,21,11,78
107,55,4,3,9,34,10,43
117,57,4,3,19,54,7,13
144,54,4,3,6,18,13,120
120,59,4,3,6,19,12,95
106,45,4,5,5,17,15,167
152,54,3,3,8,32,10,42
92,37,4,7,9,28,9,38
142,54,3,3,7,23,11,67
126,51,3,4,6,20,12,95
112,44,4,4,6,23,13,95
131,66,4,3,6,18,13,115
122,52,3,3,5,19,15,157
125,53,3,3,7,24,11,66
94,42,4,7,6,21,13,100
135,55,4,3,5,14,18,314
125,49,4,3,6,17,14,155
121,55,4,3,7,19,11,80
73,42,5,7,6,19,13,106
121,51,4,3,7,21,10,63
122,56,3,3,7,24,11,64
135,55,3,4,6,18,12,102
109,37,4,6,5,19,14,119
142,52,3,3,6,20,13,102
116,51,4,3,7,27,11,55
130,51,3,4,5,16,15,169
126,48,4,3,12,39,8,21
108,44,4,5,5,19,16,160
122,45,4,4,4,12,26,597
131,51,3,3,6,16,14,155
112,52,4,4,4,16,20,295
134,63,3,3,6,21,12,87
111,48,4,4,8,28,10,46
110,51,4,3,10,32,9,40
120,48,4,4,8,28,9,44
117,54,4,3,7,23,11,62
140,49,3,3,6,19,14,136
95,38,4,6,6,22,13,94
127,52,3,3,6,18,13,109
103,75,4,3,201,67,2,6
18,37,9,36,155,76,3,3
134,63,3,3,6,22,12,81
92,37,5,7,7,26,11,69
125,55,3,3,8,30,10,45
130,50,4,4,5,16,16,202
95,50,4,4,4,14,19,304
89,48,4,4,5,15,15,213
127,46,4,4,13,42,8,21
126,48,4,4,7,25,11,62
115,50,4,4,6,19,12,98
90,38,4,7,13,43,8,21
115,53,4,3,15,45,7,17
130,46,3,4,6,18,13,116
119,48,4,3,6,24,12,80
120,50,4,4,5,19,14,129
92,49,4,5,4,15,19,292
137,52,4,4,6,22,13,111
122,57,4,3,5,16,16,203
118,56,4,3,7,23,12,85
112,48,4,4,7,24,12,75
139,49,3,3,6,20,11,79
113,49,4,4,5,15,16,219
103,41,4,6,5,14,20,363
112,49,4,4,6,24,13,94
96,36,4,7,5,20,15,140
125,49,3,4,6,17,13,141
121,57,4,3,6,19,13,115
109,60,4,3,6,23,13,94
119,49,4,4,5,19,15,145
110,48,4,4,6,20,13,115
79,38,5,8,6,20,11,77
85,42,4,6,8,31,10,51
112,48,4,4,14,44,8,19
81,41,4,6,5,18,18,250
123,54,4,3,6,20,13,101
138,50,4,4,13,41,8,21
151,44,3,5,9,27,9,38
98,53,4,4,8,27,10,51
101,40,4,5,6,18,12,114
142,53,3,3,9,28,9,43
139,50,3,4,8,26,10,54
102,50,4,4,13,43,8,22
121,52,4,4,7,25,10,49
121,48,4,4,5,15,17,228
117,39,4,6,5,17,15,174
129,57,4,3,7,28,11,66
108,54,4,3,29,61,6,8
119,47,4,4,6,20,13,109
104,48,4,4,6,19,12,106
107,38,4,6,6,17,12,112
88,41,4,6,10,35,9,30
143,56,3,3,4,14,21,355
123,49,4,3,6,18,14,138
143,49,3,4,8,28,10,45
109,51,4,3,6,21,12,88
76,44,4,6,5,15,15,196
118,49,4,4,8,27,10,54
123,52,3,3,5,19,14,133
100,45,4,5,6,17,15,159
133,52,4,4,6,21,13,105
126,52,4,4,5,17,15,164
